0;Необычайная отвага;1983;6.479;Тед Котчефф;14500000;Вот уже более 10 лет, как Родос живет в кошмаре — он ищет своего сына, имя которого было внесено в список «пропавших без вести» во Вьетнаме. После безнадежных обращений к правительству, Родос решает самостоятельно раскрыть тайну исчезновения сына. После изнурительных недель обучения, он отправляется в Лаос. С этого момента и начинается самый сложный Вьетнамский конфликт.;Джин Хэкмен,Роберт Стэк,Фред Уорд,Рэб Браун,Рэндал «Текс» Кобб,Патрик Суэйзи,Гарольд Сильвестр,Тим Томерсон,Лау Нга Лаи,Кван Хи Лим
1;Изгои;1983;7.248;Фрэнсис Форд Коппола;10000000;Маленький городок в штате Оклахома, 60-е годы. В извечном конфликте противостоят друг другу банды подростков, разделенных по имущественному признаку.;Си Томас Хауэлл,Ральф Маччио,Дайан Лэйн,Патрик Суэйзи,Роб Лоу,Мэтт Диллон,Эмилио Эстевес,Том Круз,Гленн Уитроу,Лейф Гаррет
2;Остаться в живых;1983;6.31;Сильвестр Сталлоне;22000000;Прошло пять лет, а лихорадка субботнего вечера в жизни Тони Манеро — героя культовой одноименной киноленты, продолжается — на этот раз ему предстоит покорить вершину под названием Бродвей.;Джон Траволта,Синтия Роудс,Финола Хьюз,Стив Инвуд,Джули Бовассо,Чарльз Уорд,Стив Бикфорд,Патрик Брэйди,Норма Дональдсон,Джесси Доран
3;Скейттаун, США;1979;;Уильям А. Леви;;О моде на роликовые коньки. В фильме герои с роликов практически не слезают — на них они любят, ссорятся и даже сражаются, и сейчас это смотрится не столько старомодно, сколько смешно.;Скотт Байо,Флип Уилсон,Рон Палильо,Морин МакКормик,Рут Бацци,Грег Брэдфорд,Патрик Суэйзи,Дэйв Мэйсон,Билли Барти,Кэтрин Келли Лэнг
4;Открытый дом;2004;;Дэн Мирвиш;;;Хеди Барресс,Джеймс Дювал,Джерри Дойл,Дженна Ли Грин,Дэниэл Хэйгэн,Сэлли Келлермен,Энн Магнусон,Келли Мартин,Роберт Питерс,Энтони Рэпп
5;Лягууушка!;2004;4.117;Коди Джэррет;;В одном их крохотных американских городков творятся безумные вещи — в реке живут головастики размером с футбольный мяч, а рыбешка обладает шестью глазами. Причина происходящего лежит на поверхности: владельца местного химпроизводства, Хантли Граймса, не сильно заботят вопросы экологии. И вот на родину Граймса является инспектор федерального агентства по охране окружающей среды — большегрудая Барбара Майклс…;Кристи Расселл,Ариадна Шаффер,Роберт Патрик Бринк,Майкл МакКоннохи,Джеймс Дювал,Тодд Малта,Мэри Воронов,Джон Понцио,Уильям Найт,Eowyn Steele
6;Запретная зона;2003;;Ли Мэдсен;;Шон Макинтайр — отличный парень на которого всегда можно положиться. Поэтому еще в начальной школе друзья провозглашаютего главарем своей «мафии». Для ребят, подражающих знаменитым итальянским гангстерам, Шон становится «крестным отцом». Но с годами невинная забава превращаемся в соблазнительную реальность, а большие деньги, недетские страсти и шальной риск затягивают их в опасную паутину, где ни каждому суждено остаться в живых. Шон знает — теперь игра ведется всерьез, и вскоре ему придется сделать выбор между клятвой верности «мафии» и своей совестью, ведь только он может спасти своих лучших друзей.;Фредди Родригес,Кармине Джовинаццо,Джейсон Лоугридж,Тревер Уайатт Хоппер,Питер Добсон,Джеймс Дювал,Мелисса Марсала,Брайан Фарабо,Моника Олджейр,Алиса Рейс
7;Мэй;2002;6.114;Лаки МакКи;500000;С самого детства Мэй была постоянным объектом насмешек родителей и знакомых. Ее единственной подругой была странная кукла, подаренная матерью. Став взрослой и устроившись на работу в ветклинику, Мэй пытается найти себе друга.  Но Адам, в которого она влюблена, отвергает Мэй, жестоко насмеявшись над ее чувствами. Так не лучше ли создать себе нового, идеального друга? Ведь Мэй отлично умеет обращаться с хирургическим скальпелем и портняжными ножницами.;Анджела Беттис,Джереми Систо,Анна Фэрис,Джеймс Дювал,Николь Хильтц,Кевин Гейдж,Мерл Кеннеди,Чандлер Райли Хехт,Рэйчел Дэвид,Нора Зеетнер
8;Американа;2001;;Джеймс Мерендино;;;Майкл А. Гурджиан,Джеймс Дювал,Тара Агасе,Джеймс Мерендино,Морган Уолш
9;The Tag;2001;;Питер Уинтер;;;Джимон Хонсу,Келли Разерфорд,Джейсон Айзекс,Джеймс Дювал,Джэми Калер,Сара Лассез,Саэми Накамура,Битти Шрэм,Брайан Шер,Бет Скипп
10;Мальчик-косуля;2001;;Рэнди Редроуд;1600000;Хантер, индеец-полукровка (сын белого отца и матери индианки), страдающий гемофилией, в десятилетнем возрасте, пойдя с отцом охотиться на оленя, убил косулю, что, по поверью, является проклятием для индейца. Кличка мальчик-косуля прилипла к Хантеру навсегда. Как и его неизлечимая болезнь, в возникновении которой он винит своего белого отца. Происходящие на фоне индейских легенд борьба с недугом, проблемы взаимоотношений с родителями и друзьями, трудности любви и обретение мужественности составляют содержание этого фильма.;Джеймс Дювал,Кевин Андерсон,Эндрю Дж. Ферчланд,Джери Арредондо,Джуди Херрера,Гордон Тутусис,Натаниель Арканд,Оурвел Бэлдридж,Джил Бирмингем,Норман Браун
11;Угнать за 60 секунд;2000;7.572;Доминик Сена;90000000;Что можно успеть за 60 секунд? Выкурить сигарету или выпить чашку кофе. Но только один профессионал в мире, легендарный вор по кличке Мемфис, может за считанные секунды угнать любой автомобиль. Однако на этот раз ему предстоит сделать невозможное: чтобы спасти своего брата, Мемфис должен за одну ночь угнать 50 первоклассных машин. Чтобы вырваться из двойного капкана мафии и полиции, он должен следовать одному принципу — не останавливаться…;Николас Кейдж,Анджелина Джоли,Джованни Рибизи,Роберт Дювалл,Уилл Пэттон,Делрой Линдо,Тимоти Олифант,Скотт Каан,Кристофер Экклстон,Винни Джонс
12;Уик-энд;1999;;Брайан Скит;;;Джина Роулендс,Дебора Кара Ангер,Брук Шилдс,Джаред Харрис,Дэвид Конрад,Джеймс Дювал,Д.Б. Суини,Гари Дурдан,Джессика Моррис
13;Экстази;1999;7.162;Даг Лайман;20000000;Утром очаровательная кассирша Рона знакомится со странной парочкой, днем оставляет свою подругу в залог, вечером оказывается в придорожной канаве без признаков жизни. Наркоделец Саймон начинает день в багажнике автомобиля, продолжает его в горящем номере с двумя женщинами и заканчивает гонками без правил на улицах Лас-Вегаса. Сладкая парочка Зак и Адам целые сутки помогают полиции, мешая всем остальным, за что в конце удостаиваются чести поужинать с полоумным служителем закона. Между тем такие разные истории ожидает один и тот же непредсказуемый финал…;Сара Полли,Тимоти Олифант,Уильям Фихтнер,Кэти Холмс,Скотт Вулф,Джей Мор,Десмонд Аскью,Тэй Диггз,Брекин Мейер,Нэйтан Бекстон
14;Панк из Солт-Лейк-Сити;1998;7.758;Джеймс Мерендино;;Если вы выросли в Америке, то бунтарство против всего мира у вас в крови. А если вы к тому же Стиво, и живете в эру Рейгана в Солт-Лейк-Сити, то… бунтарство в вас проявится чуть-чуть сильнее. Мир — его враг, анархия — его религия. Вы отправляетесь в захватывающее путешествие по его жизни, и по дороге вы встречаете панков, позеров, модов, фриков, наркоманов и других личностей. Отец Стиво, бывший хиппи, считает, что его жизнь проходит впустую и убеждает сына поступить в Юридическую школу Гарварда, которую он сам окончил. Но у Стиво, под, казалось бы, непробиваемой броней из ирокеза, сережек и кожи, скрывается много мыслей. Встает вопрос: как сохранить свою индивидуальность и жить в обществе?;Мэттью Лиллард,Майкл А. Гурджиан,Аннабет Гиш,Дженнифер Лиен,Кристофер Макдональд,Девон Сава,Джейсон Сигел,Адам Паскаль,Тиль Швайгер,Джеймс Дювал
15;Отель Александрия;1999;;Андреа Барзини;;;Джеймс Дювал,Род Стайгер,Кьяра Барзини,Стефано Дионизи,Козимо Фуско,Kozetta Garnett,Хизер Грэм,Карла Гуджино,Сара Лассез,Стефани Романов
16;Маска призрака;1999;5.796;Жан Пеллерин;;Смерть певицы Лоррейн Седжвик прямо на сцене от рук ее любовника, тенора Лоренцо Орсини, надолго опустила занавес оперного театра. Спустя 15 лет театр был предоставлен для занятий студенческому драматическому кружку. Как раз тому, в который по волесудьбы записалась дочь Лоррейн — Кейт. Ее начинают преследовать ночные кошмары и зловещие видения. Кейт видит то же, что и ее мать в свой последний вечер. К тому же, желая попугать студентов, хозяин здания мистер Карузерс уверяет, что призрак Орсини все еще бродит по театру. Студенты принимают это за шутку, но когда выясняется, что телефоны не работают, а двери наглухо закрыты, дело приобретает нешуточный оборот. Безжалостный убийца, одетый в такой же костюм, какой был на Орсини в день убийства Лоррейн, приготовил для каждого из них оригинальный сюрприз…;Кристофер Пламмер,Марго Киддер,Сара Лассез,Джеймс Дювал,Татьяна Али,Мелисса Гальянос,J.P. Grimard,Райан Джэймс Биттл,Лиз Кроуфорд,Вики Мернтетт
17;Stamp and Deliver;1998;;Дэн Мирвиш;;;Джеймс Дювал,Лорел Холломан
18;Дикие лошади;1998;;Солейл Мун Фрай;;;Ангелина,Скотт Каан,Джеймс Дювал,Солейл Мун Фрай,Дэнни Мастерсон,Хизер МакКомб,Джастин Пирс,Марисса Рибизи,Энн Спрэдли-Монти,Тайрон Танн
19;Как устроить самый жестокий месяц;1998;;Кип Кениг;;Белла ставит перед собой две цели, которые хочет достичь в новом году: бросить курить и влюбиться. Но первая цель оказывается слишком трудной для девушки, поэтому все свои силы она решает бросить на осуществление второй цели.;Клеа ДюВалл,Дж. Д. Саузер,Мэри Кэй Плэйс,Гэбриел Манн,Джон Воскэмп,Джеймс Дювал,Эми Смарт,Джоржа Фокс,Кристофер Гартин,Фред Уэллер
20;Река утопленников;1997;;Джеймс Мерендино;;Аллен, молодой художник увлекся Евой, богатой владелицей художественной галереи. Неожиданно к нему приезжает старый друг и любовник Тадеус, умирающий от СПИДа. Постепенно Еве открывается правда об их прошлом…;Ричард Чемберлен,Майкл Империоли,Уте Лемпер,Джеймс Дювал,Остин Пендлтон,Талия Шайр,Майк Старр,Ричард Рили,Майкл Сауседо,Джеймс Карен
21;Нигде;1997;6.88;Грегг Араки;;Это похоже на бред, но это жизнь. Жизнь молодых людей, которые волею судьбы оказались рядом, чтобы прожить всего один день. Обычный день, полный неуверенности в себе, сомнений, страха, наркотиков, музыки в стиле рэп, беспробудного пьянства, смертей и любви. Страстной, безумной и от того еще более ужасной любви. Они никто и живут нигде…;Джеймс Дювал,Хизер Грэм,Мена Сувари,Кристина Эпплгейт,Райан Филипп,Шэннен Доэрти,Кьяра Мастроянни,Деби Мейзар,Кэтлин Робертсон,Дениз Ричардс
22;День независимости;1996;7.626;Роланд Эммерих;75000000;На Земле принимается сигнал, посланный источником явно неземного происхождения. Источник этот приближается, и на «уши» поднимается вся планета. Никто, правда, не ожидал, что инопланетяне окажутся такими огромными и в таком количестве.;Уилл Смит,Джефф Голдблюм,Билл Пуллман,Мэри МакДоннелл,Джадд Хёрш,Роберт Лоджа,Рэнди Куэйд,Маргарет Колин,Джеймс Ребхорн,Харви Файерстин
0;Пляжные игры;1965;5.6;Уильям Эшер;;Банда байкеров похищает звезду эстрады Шугар Кейн. Перед продюсером стоит нелегкая задача — найти свою подопечную.;Фрэнки Авалон,Аннетт Фаничелло,Дебора Уолли,Харви Лембек,Джон Эшли,Джоди МакКри,Донна Лорен,Марта Кристен,Линда Эванс,Тимоти Кэри
